;ID;FECHA_UTC;HORA_UTC;LATITUD;LONGITUD;PROFUNDIDAD;MAGNITUD;FECHA_CORTE;geometry;UBICACION;MAGNITUD_CAT;PROFUNDIDAD_CAT;LUGAR
8931;8931;2000;40408;-5.1635;-77.0781;45;4.6;20223006;POINT (-77.0781 -5.1635);-5.1635,-77.0781;Moderado;Superficial;Loreto
8932;8932;2000;81257;-14.3206;-73.42;32;4.9;20223006;POINT (-73.42 -14.3206);-14.3206,-73.42;Moderado;Superficial;Apurimac
8933;8933;2000;102618;-4.2166;-81.1112;36;5.2;20223006;POINT (-81.1112 -4.2166);-4.2166,-81.1112;Moderado;Superficial;Piura
8934;8934;2000;105734;-9.636;-74.6714;144;4.8;20223006;POINT (-74.6714 -9.636);-9.636,-74.6714;Moderado;Intermedia;Pasco
8935;8935;2000;111517;-17.4321;-70.9378;113;5.0;20223006;POINT (-70.9378 -17.4321);-17.4321,-70.9378;Moderado;Intermedia;Moquegua
8936;8936;2000;180606;-5.9615;-80.471;46;4.5;20223006;POINT (-80.471 -5.9615);-5.9615,-80.471;Moderado;Superficial;Piura
8938;8938;2000;102144;-15.2764;-72.5846;9;4.9;20223006;POINT (-72.5846 -15.2764);-15.2764,-72.5846;Moderado;Superficial;Arequipa
8939;8939;2000;34447;-9.748;-75.71;93;4.5;20223006;POINT (-75.71 -9.748);-9.748,-75.71;Moderado;Intermedia;Huanuco
8940;8940;2000;84753;-8.1512;-74.8961;133;5.1;20223006;POINT (-74.8961 -8.1512);-8.1512,-74.8961;Moderado;Intermedia;Ucayali
8941;8941;2000;60656;-8.6447;-73.7439;161;4.9;20223006;POINT (-73.7439 -8.6447);-8.6447,-73.7439;Moderado;Intermedia;Ucayali
8942;8942;2000;92436;-3.1823;-77.2065;91;5.1;20223006;POINT (-77.2065 -3.1823);-3.1823,-77.2065;Moderado;Intermedia;Loreto
8944;8944;2000;91631;-11.3386;-75.2695;22;4.5;20223006;POINT (-75.2695 -11.3386);-11.3386,-75.2695;Moderado;Superficial;Junin
8945;8945;2000;82430;-7.7955;-74.2162;178;4.6;20223006;POINT (-74.2162 -7.7955);-7.7955,-74.2162;Moderado;Intermedia;Ucayali
8947;8947;2000;53709;-7.713;-74.6032;169;5.2;20223006;POINT (-74.6032 -7.713);-7.713,-74.6032;Moderado;Intermedia;Loreto
8948;8948;2000;113528;-6.9188;-75.8976;118;4.6;20223006;POINT (-75.8976 -6.9188);-6.9188,-75.8976;Moderado;Intermedia;Loreto
8949;8949;2000;214517;-8.2319;-74.2656;151;5.0;20223006;POINT (-74.2656 -8.2319);-8.2319,-74.2656;Moderado;Intermedia;Ucayali
8953;8953;2000;102858;-15.2284;-70.3767;118;4.7;20223006;POINT (-70.3767 -15.2284);-15.2284,-70.3767;Moderado;Intermedia;Puno
8955;8955;2000;23154;-4.7735;-76.9356;139;5.0;20223006;POINT (-76.9356 -4.7735);-4.7735,-76.9356;Moderado;Intermedia;Loreto
8956;8956;2000;35412;-13.8504;-72.3937;15;4.5;20223006;POINT (-72.3937 -13.8504);-13.8504,-72.3937;Moderado;Superficial;Apurimac
8961;8961;2000;112004;-8.7681;-75.6862;132;4.7;20223006;POINT (-75.6862 -8.7681);-8.7681,-75.6862;Moderado;Intermedia;Ucayali
